table_id,dept,prov,dist,eligible_voters,total_voters
033833,LIMA,LIMA,LIMA,300,222
033834,LIMA,LIMA,LIMA,300,211
033835,LIMA,LIMA,LIMA,300,226
033836,LIMA,LIMA,LIMA,300,228
033837,LIMA,LIMA,LIMA,300,241
033838,LIMA,LIMA,LIMA,300,223
033839,LIMA,LIMA,LIMA,300,230
033840,LIMA,LIMA,LIMA,300,232
033841,LIMA,LIMA,LIMA,300,237
033842,LIMA,LIMA,LIMA,300,232
033843,LIMA,LIMA,LIMA,300,245
033844,LIMA,LIMA,LIMA,300,252
033845,LIMA,LIMA,LIMA,300,233
033846,LIMA,LIMA,LIMA,300,231
033847,LIMA,LIMA,LIMA,300,237
033848,LIMA,LIMA,LIMA,300,238
033849,LIMA,LIMA,LIMA,300,246
033850,LIMA,LIMA,LIMA,300,259
033851,LIMA,LIMA,LIMA,300,244
033852,LIMA,LIMA,LIMA,300,224
033853,LIMA,LIMA,LIMA,300,221
033854,LIMA,LIMA,LIMA,300,227
033855,LIMA,LIMA,LIMA,300,230
033856,LIMA,LIMA,LIMA,300,228
033857,LIMA,LIMA,LIMA,300,238
033858,LIMA,LIMA,LIMA,300,234
033859,LIMA,LIMA,LIMA,300,224
033860,LIMA,LIMA,LIMA,300,202
033861,LIMA,LIMA,LIMA,300,217
033862,LIMA,LIMA,LIMA,300,215
033863,LIMA,LIMA,LIMA,300,206
033864,LIMA,LIMA,LIMA,300,214
033865,LIMA,LIMA,LIMA,300,230
033866,LIMA,LIMA,LIMA,300,230
033867,LIMA,LIMA,LIMA,300,224
033868,LIMA,LIMA,LIMA,300,219
033869,LIMA,LIMA,LIMA,300,215
033870,LIMA,LIMA,LIMA,300,213
033871,LIMA,LIMA,LIMA,300,222
033872,LIMA,LIMA,LIMA,300,225
033873,LIMA,LIMA,LIMA,300,215
033874,LIMA,LIMA,LIMA,300,214
033875,LIMA,LIMA,LIMA,300,218
033876,LIMA,LIMA,LIMA,300,208
033877,LIMA,LIMA,LIMA,300,216
033878,LIMA,LIMA,LIMA,300,213
033879,LIMA,LIMA,LIMA,300,223
