table_id,department,province,district,installation_time,eligible_voters,total_voted,rp,jpp
036369,LIMA,LIMA,LIMA,07:11 a. m.,300,230,39,3
036381,LIMA,LIMA,LIMA,07:30 a. m.,300,226,26,4
036380,LIMA,LIMA,LIMA,07:30 a. m.,300,217,20,3
036374,LIMA,LIMA,LIMA,07:27 a. m.,300,232,41,8
036378,LIMA,LIMA,LIMA,07:55 a. m.,300,221,37,1
036376,LIMA,LIMA,LIMA,08:00 a. m.,300,236,33,5
036382,LIMA,LIMA,LIMA,07:00 a. m.,300,224,41,0
036383,LIMA,LIMA,LIMA,07:00 a. m.,300,244,35,4
036379,LIMA,LIMA,LIMA,07:44 a. m.,300,234,23,5
036385,LIMA,LIMA,LIMA,08:58 a. m.,300,220,32,6
036384,LIMA,LIMA,LIMA,07:43 a. m.,300,227,34,3
036387,LIMA,LIMA,LIMA,07:21 a. m.,300,229,33,2
036386,LIMA,LIMA,LIMA,07:21 a. m.,300,228,38,3
036389,LIMA,LIMA,LIMA,07:45 a. m.,300,244,39,4
036388,LIMA,LIMA,LIMA,07:42 a. m.,300,233,36,4
036390,LIMA,LIMA,LIMA,08:33 a. m.,300,224,32,6
036391,LIMA,LIMA,LIMA,07:33 a. m.,300,239,36,4
036393,LIMA,LIMA,LIMA,08:10 a. m.,300,229,38,4
